GENE_ID,treat_1,treat_2,treat_3,control_1,control_2,control_3
TCEAL7,3180,4051,4560,1154,1968,3614
C11orf54,1402,1085,1159,1834,1096,810
CEP63,1783,1679,2049,1436,1114,909
SRPRA,6796,2656,2936,4458,2671,3126
EWSR1,9565,6629,6883,8983,5865,7049
ODF3L1,33,18,7,20,14,15
HMGN4,1502,1079,1222,1109,692,1055
SPATA13,8923,2386,4841,14326,10585,3634
GJC1,1167,999,921,824,1128,1046
SOX1,985,197,366,737,422,281
CNOT10,1480,1014,1164,1094,920,981
MTA1,6216,2262,2436,4587,4059,3189
ZNF662,951,955,783,1335,734,706
CADM1,12484,9314,13446,9360,6530,10391
ZNF320,376,347,278,285,261,275
C12orf60,224,121,107,178,133,151
PYCR1,792,322,238,396,364,363
NAA38,1748,370,343,812,666,580
SPNS2,6120,2538,1955,3987,5039,3453
MCEMP1,54,17,11,4,0,8
AP2A2,19121,4681,5282,4925,4096,6027
SLC8A1,39453,40625,38960,5466,13994,32753
SLC25A21,32,5,11,31,14,0
PCP4,1776,1902,1147,219,306,387
ABAT,28559,17895,12759,9277,13713,20202
SLC25A10,565,364,250,294,285,540
CAMK1D,30333,10752,14093,5085,5096,16107
RGPD6,6989,7655,8491,3280,3455,6378
LYSMD4,1003,797,755,1622,1173,891
